configured,dist_a,dist_b,n_entities,n_metrics,n_periods,seed,observed,error
-0.3,weibull,normal,100,2,24,7002,-0.3215747469132411,0.021574746913241127
-0.3,weibull,normal,100,2,24,7003,-0.30426364057114996,0.004263640571149974
-0.3,weibull,normal,100,2,24,7004,-0.311114061230462,0.011114061230461991
0.0,weibull,normal,100,2,24,7000,0.024063150590399006,0.024063150590399006
0.0,weibull,normal,100,2,24,7001,-0.027093677128187058,0.027093677128187058
0.0,weibull,normal,100,2,24,7002,-0.03854492400676072,0.03854492400676072
0.0,weibull,normal,100,2,24,7003,-0.02532849850345233,0.02532849850345233
0.0,weibull,normal,100,2,24,7004,-0.019771207554062916,0.019771207554062916
0.3,weibull,normal,100,2,24,7000,0.315545613257,0.01554561325699999
0.3,weibull,normal,100,2,24,7001,0.2557279271444967,0.044272072855503275
0.3,weibull,normal,100,2,24,7002,0.2548967965028341,0.0451032034971659
0.3,weibull,normal,100,2,24,7003,0.26153472645162784,0.03846527354837215
0.3,weibull,normal,100,2,24,7004,0.27716321643011044,0.02283678356988955
0.7,weibull,normal,100,2,24,7000,0.6939794171531068,0.006020582846893108
0.7,weibull,normal,100,2,24,7001,0.6518971631670613,0.0481028368329387
0.7,weibull,normal,100,2,24,7002,0.6609230971423297,0.03907690285767029
0.7,weibull,normal,100,2,24,7003,0.6608166814270062,0.03918331857299373
0.7,weibull,normal,100,2,24,7004,0.6749267897994375,0.025073210200562412
